,i,j,origin_x,origin_y,dest_x,dest_y
2688,23,33,-46.4213,-23.4814,-46.40630000000001,-23.496400000000005
2689,24,34,-46.40630000000001,-23.496400000000005,-46.4213,-23.4814
2690,23,35,-46.4213,-23.4814,-46.40630000000001,-23.496400000000005
2691,24,34,-46.4213,-23.4814,-46.436299999999996,-23.496400000000005
2692,24,35,-46.4213,-23.4814,-46.436299999999996,-23.496400000000005
2693,24,33,-46.4213,-23.4814,-46.436299999999996,-23.496400000000005
2694,24,33,-46.4513,-23.526399999999995,-46.4513,-23.511399999999995
2695,21,33,-46.436299999999996,-23.496400000000005,-46.4363,-23.4814
2696,23,32,-46.4363,-23.4814,-46.436299999999996,-23.496400000000005
2697,24,33,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2698,24,33,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2699,23,34,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2700,24,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2701,23,34,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2702,24,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2703,23,34,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2704,24,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2705,23,34,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2706,24,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2707,23,34,-46.4213,-23.4814,-46.421299999999995,-23.496400000000005
2708,24,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.4814
2709,23,34,-46.39130000000001,-23.4814,-46.39130000000001,-23.511399999999995
2710,24,34,-46.39130000000001,-23.4814,-46.39130000000001,-23.511399999999995
2711,24,36,-46.39130000000001,-23.4814,-46.421299999999995,-23.496400000000005
2712,24,36,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.4814
2713,23,34,-46.37630000000001,-23.4814,-46.436299999999996,-23.496400000000005
